location_id,field_name,community,address,city,state,zip,latitude,longitude,game_count
144,Walker Road Park,Bay Village,31621 Walker Road,Avon Lake,Oh,44012,41.492683,-81.970505,148
13,Barlow Farm Park,Hudson,1965 Barlow Road,Hudson,OH,44236,41.218658,-81.424347,111
249,Troy Intermediate School,Avon Lake,237 Belmar Blvd,Avon Lake,OH,44012,41.499325,-82.036926,108
12,Schady Rd Soccer Complex,Olmsted Falls,27075 Schady Road,Olmsted Falls,Oh,44138,41.363373,-81.941856,92
261,Lucille Heasley Soccer Fields,North Royalton,5100 Wallings Rd,North Royalton,OH,44133,41.333012,-81.721977,86
230,Foltz Fields,Strongsville,15301 Foltz Industrial Parkway,Strongsville,Oh,44149,41.301456,-81.870888,84
205,Medina Huffman/Cunningham Fields,Medina,4440 Weymouth Rd.,Medina,OH,44256,41.154415,-81.831406,81
330,Schwartz Road Park,Avon,35001 Schwartz Road,Avon,OH,44011,41.439964,-82.000275,76
337,Barton-Bradley Recreation Fields,North Olmsted,30642 Bradley Rd,North Olmsted,OH,44070,41.402107,-81.965591,68
6,Linden Park,Rocky River,Linden Rd,Rocky River,Oh,44116,41.458858,-81.847008,65
162,Spring Hill Sports Complex,Green,3749 Fortuna Dr,Akron,OH,44312,40.970058,-81.486801,60
332,James Day Park,Parma,11828 Pleasant Valley Rd,Parma,Oh,44130,41.364872,-81.768730,60
199,Sharon Community Park,Highland,6674 Ridge Rd,Wadsworth,OH,44281,41.093090,-81.735603,59
210,Muhl Fields,Wadsworth,390 Trease Road,Wadsworth,OH,44281,41.017506,-81.748924,56
372,Blossom Hill,Brecksville Bees SA,4400 Oakes Road,Brecksville,Oh,44141,41.304996,-81.661255,56
358,Ashland Comunity Soccer Park,Ashland,1580 Middle Rowsburg Road,Ashland,OH,44805,40.872303,-82.288521,52
246,Porter Fields,Westlake,29301 Center Ridge Road,Westlake,OH,44145,41.432343,-81.943947,51
90,Oberland Park,Geauga Federation SC,14775 Auburn Rd,Newbury,Oh,44065,41.466331,-81.243645,48
483,Sports Force Parks,Sandusky,3115 Cleveland Rd,Sandusky,OH,44870,41.431690,-82.652924,48
666,Root Road Soccer Complex,North Ridgeville,8949 Root Road,North Ridgeville,OH,44039,41.364017,-81.990715,48
247,St John Medical Center Fields,Westlake,29000 Center Ridge Road,Westlake,OH,44145,41.436531,-81.944511,47
195,Garfield Middle School,Lakewood,13114 Detroit Ave,Lakewood,OH,44107,41.485783,-81.779701,46
175,Richfield Woods Park,Revere,4100 Broadview Rd,Richfield,Oh,44286,41.243141,-81.657303,45
8,Buckeye Primary School,Buckeye,3180 Columbia Rd,Medina,OH,44256,41.187717,-81.927521,44
177,Oregon Trail Park,Stow,2905 Graham Rd,Stow,Oh,44224,41.167919,-81.409698,44
223,Tri-City Park,Fairview Park,22950 Westwood,Fairview Park,Oh,44126,41.449783,-81.874329,44
448,Hartman Park (Townline Rd soccer fields),Aurora,305 Townline Rd,Aurora,oh,44202,41.323498,-81.300247,44
44,Glenwillow Fields,Solon United,7360 Austin Powder Dr.,Solon,OH,44139,41.358631,-81.470985,43
49,Gurney Elementary,Chagrin Falls,1155 Bell Rd,Chagrin Falls,OH,44022,41.433563,-81.344444,42
108,Mayfield Village,Mayfield,300 North Commons Boulevard,Mayfield Village,OH,44143,41.564480,-81.444344,41
288,Tri-City Park,Rocky River,3640 Delmar Dr,Rocky River,Oh,44116,41.452179,-81.872437,41
616,Settler's Park,Kenston,17800 Haskins Road,Chagrin Falls,Oh,44023,41.384686,-81.326340,41
15,Riverview Elementary 7v7,Riverside,845 Madison Ave,Painesville,Oh,44077,41.727589,-81.220947,40
60,Cloverleaf Soccer Association Fields,Cloverleaf,8075 Buffham Rod,Lodi,OH,44254,41.041016,-81.980164,40
169,Arrowhead School,Copley,1600 Raleigh Blvd.,Copley,OH,44321,41.090687,-81.637466,40
176,Silver Springs Park,Stow,5027 Stow Rd,Stow,OH,44224,41.196747,-81.417053,40
